
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
per_asian                   29,295     0.429        0.197       0.0002         1.000     
per_hawaian                 29,295     0.069        0.100        0.000         0.695     
per_occupied                29,295     0.882        0.167       0.0004         1.000     
per_vacant                  29,295     0.117        0.165        0.000         0.893     
per_owner                   29,295     0.669        0.200       0.0004         1.000     
per_renter                  29,295     0.330        0.200        0.000         0.986     
HOA                         29,295    17.755       45.566          0            667      
Elevator                    29,295     0.706        1.566          0             36      
remod                       29,295     0.379        0.485          0             1       
lat                         29,295 2,361,443.000  7,533.682  2,350,907.000 2,400,056.000 
lon                         29,295  612,541.900  13,175.420   579,824.200   638,667.700  
PropertyTypeCondo_Townhouse 29,295     0.547        0.498          0             1       
PropertyTypeSingle Family   29,295     0.453        0.498          0             1       
StoriesOne                  29,295     0.345        0.475          0             1       
StoriesTwo                  29,295     0.351        0.477          0             1       
StoriesMulti                29,295     0.304        0.460          0             1       
year                        29,295   2,017.564      1.168        2,016         2,020     
LUCResidential              29,295     0.455        0.498          0             1       
LUCAgriculture              29,295     0.008        0.089          0             1       
LUCApartment-HD             29,295     0.027        0.163          0             1       
LUCApartment-LD             29,295     0.165        0.371          0             1       
LUCApartment-MD             29,295     0.157        0.364          0             1       
LUCBusiness                 29,295     0.037        0.188          0             1       
LUCOther                    29,295     0.118        0.323          0             1       
LUCResort                   29,295     0.033        0.178          0             1       
condAverage                 29,295     0.189        0.391          0             1       
condExcellent               29,295     0.355        0.479          0             1       
condAbove Average           29,295     0.408        0.491          0             1       
condFair                    29,295     0.048        0.214          0             1       
Parking0                    29,295     0.058        0.233          0             1       
Parking1                    29,295     0.254        0.435          0             1       
Parking2                    29,295     0.489        0.500          0             1       
Parking3                    29,295     0.058        0.233          0             1       
Parking4                    29,295     0.111        0.314          0             1       
Parking5 or More            29,295     0.031        0.174          0             1       
fld_zoneAE                  29,295     0.131        0.338          0             1       
fld_zoneA                   29,295     0.005        0.071          0             1       
fld_zoneAH                  29,295     0.002        0.042          0             1       
fld_zoneAO                  29,295     0.042        0.200          0             1       
fld_zoneD                   29,295     0.424        0.494          0             1       
fld_zoneVE                  29,295     0.007        0.081          0             1       
fld_zoneX                   29,295     0.389        0.488          0             1       
-----------------------------------------------------------------------------------------

==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
------------------------------------------------------------------------------------------
num_sale                    21,330     1.322        0.550          1              5       
Covid                       21,330     1.000        0.000          1              1       
Covid2                      21,330     0.884        0.320          0              1       
Cases                       21,330    301.725      558.964         0            4,021     
BathsFull                   21,330     1.929        0.926          0              15      
BathsHalf                   21,330     0.273        0.471          0              5       
BedsTotal                   21,330     2.740        1.508          0              25      
DOM                         21,330    35.170       57.274          0             946      
livSQFT                     21,330   1,346.060     865.873        120           16,703    
SQFTGarageCarport           21,330    167.877      230.012         0            3,200     
real.list.price             21,330  986,269.800  922,035.200   85,418.510   22,166,108.000
real.close.price            21,330  984,506.600  873,712.000   85,418.510   22,166,108.000
diff.price                  21,330   1,325.308   110,650.900 -2,010,000.000 6,900,000.000 
Basement                    21,330     0.014        0.119          0              1       
Split                       21,330     0.036        0.185          0              1       
PUD                         21,330     0.007        0.083          0              1       
LowRise                     21,330     0.088        0.283          0              1       
HighRise                    21,330     0.291        0.454          0              1       
Townhouse                   21,330     0.166        0.372          0              1       
Condotel                    21,330     0.034        0.181          0              1       
SingleFam                   21,330     0.420        0.494          0              1       
Duplex                      21,330     0.008        0.089          0              1       
MultiDwell                  21,330     0.021        0.143          0              1       
WalkUP                      21,330     0.043        0.203          0              1       
pool                        21,330     0.456        0.498          0              1       
Age                         21,330    39.158       19.879          0             123      
Age2                        21,330     1.929        1.648        0.000          15.129    
Age.r                       21,330     3.340        9.705          0              94      
SqftTotal                   21,330   1,492.684    1,023.128       175           18,919    
par_area                    21,330     3.141        6.067        0.014         111.969    
beach                       21,330     2.038        2.379        0.000          13.477    
park                        21,330     0.428        0.317        0.000          3.560     
hospital                    21,330     4.183        4.060        0.010          20.927    
airport                     21,330     9.103        5.602        0.993          30.986    
elem_sch                    21,330     1.158        4.317        0.016         196.490    
mid_sch                     21,330     2.215        1.607        0.037          17.655    
high_sch                    21,330     2.181        1.538        0.034          17.655    
per_white                   21,330     0.244        0.174        0.000          0.850     
per_black                   21,330     0.021        0.034        0.000          0.261     
per_asian                   21,330     0.429        0.197        0.000          1.000     
per_hawaian                 21,330     0.070        0.103        0.000          0.695     
per_occupied                21,330     0.878        0.161        0.107          1.000     
per_vacant                  21,330     0.120        0.159        0.000          0.893     
per_owner                   21,330     0.661        0.207        0.000          1.000     
per_renter                  21,330     0.338        0.206        0.000          1.000     
HOA                         21,330    18.359       49.659          0            1,000     
Elevator                    21,330     0.699        1.486          0              23      
remod                       21,330     0.433        0.496          0              1       
lat                         21,330 2,361,405.000  7,672.913  2,350,907.000  2,400,056.000 
lon                         21,330  612,992.800  13,437.710   579,905.600    638,597.200  
PropertyTypeCondo_Townhouse 21,330     0.544        0.498          0              1       
PropertyTypeSingle Family   21,330     0.456        0.498          0              1       
StoriesOne                  21,330     0.333        0.471          0              1       
StoriesTwo                  21,330     0.344        0.475          0              1       
StoriesMulti                21,330     0.323        0.467          0              1       
year                        21,330   2,021.061      0.789        2,020          2,023     
LUCResidential              21,330     0.457        0.498          0              1       
LUCAgriculture              21,330     0.008        0.089          0              1       
LUCApartment-HD             21,330     0.031        0.174          0              1       
LUCApartment-LD             21,330     0.153        0.360          0              1       
LUCApartment-MD             21,330     0.170        0.376          0              1       
LUCBusiness                 21,330     0.035        0.185          0              1       
LUCOther                    21,330     0.118        0.322          0              1       
LUCResort                   21,330     0.027        0.162          0              1       
condAverage                 21,330     0.196        0.397          0              1       
condExcellent               21,330     0.312        0.463          0              1       
condAbove Average           21,330     0.446        0.497          0              1       
condFair                    21,330     0.045        0.208          0              1       
Parking0                    21,330     0.054        0.227          0              1       
Parking1                    21,330     0.258        0.437          0              1       
Parking2                    21,330     0.449        0.497          0              1       
Parking3                    21,330     0.064        0.245          0              1       
Parking4                    21,330     0.131        0.338          0              1       
Parking5 or More            21,330     0.044        0.205          0              1       
fld_zoneAE                  21,330     0.123        0.328          0              1       
fld_zoneA                   21,330     0.007        0.081          0              1       
fld_zoneAH                  21,330     0.002        0.043          0              1       
fld_zoneAO                  21,330     0.042        0.202          0              1       
fld_zoneD                   21,330     0.407        0.491          0              1       
fld_zoneVE                  21,330     0.009        0.094          0              1       
fld_zoneX                   21,330     0.410        0.492          0              1       
------------------------------------------------------------------------------------------

=========================================================================================
Statistic                     N        Mean       St. Dev.        Min           Max      
-----------------------------------------------------------------------------------------
num_sale                    27,632     1.330        0.560          1             5       
Covid                       27,632     0.420        0.494          0             1       
Covid2                      27,632     0.378        0.485          0             1       
Cases                       11,614    311.730      571.621         0           4,021     
BathsFull                   27,632     1.506        0.557          0             6       
BathsHalf                   27,632     0.177        0.388          0             5       
BedsTotal                   27,632     1.819        0.921          0             8       
DOM                         27,632    45.782       60.563          0            946      
livSQFT                     27,632    885.142      389.886        120          10,740    
SQFTGarageCarport           27,632    25.979       95.884          0           1,380     
real.list.price             27,632  674,415.500  609,027.300  85,418.510   28,197,546.000
real.close.price            27,632  665,585.800  582,758.200  85,418.510   28,197,546.000
diff.price                  27,632   7,343.641   47,380.980    -300,000      4,750,000   
Basement                    27,632     0.001        0.037          0             1       
Split                       27,632     0.028        0.166          0             1       
PUD                         27,632     0.006        0.078          0             1       
LowRise                     27,632     0.168        0.374          0             1       
HighRise                    27,632     0.522        0.500          0             1       
Townhouse                   27,632     0.315        0.465          0             1       
Condotel                    27,632     0.064        0.245          0             1       
SingleFam                   27,632     0.003        0.051          0             1       
Duplex                      27,632     0.000        0.000          0             0       
MultiDwell                  27,632     0.000        0.000          0             0       
WalkUP                      27,632     0.082        0.274          0             1       
pool                        27,632    0.0001        0.012          0             1       
Age                         27,632    35.046       16.273          0             90      
Age2                        27,632     1.493        1.019        0.000         8.100     
Age.r                       27,632     1.430        4.016          0             57      
SqftTotal                   27,632    965.638      439.052        175          11,155    
par_area                    27,632     4.938        6.886        0.014        111.969    
beach                       27,632     1.755        2.266        0.000         12.788    
park                        27,632     0.343        0.270        0.000         2.165     
hospital                    27,632     3.182        3.454        0.015         20.403    
airport                     27,632     7.616        5.173        0.993         25.136    
elem_sch                    27,632     1.263        6.056        0.043        196.490    
mid_sch                     27,632     1.968        1.332        0.071         7.279     
high_sch                    27,632     1.833        1.211        0.034         6.804     
per_white                   27,632     0.273        0.187        0.000         0.828     
per_black                   27,632     0.023        0.035        0.000         0.241     
per_asian                   27,632     0.440        0.194        0.014         1.000     
per_hawaian                 27,632     0.058        0.086        0.000         0.640     
per_occupied                27,632     0.833        0.196        0.107         1.000     
per_vacant                  27,632     0.166        0.195        0.000         0.893     
per_owner                   27,632     0.581        0.192        0.028         0.985     
per_renter                  27,632     0.418        0.191        0.015         0.972     
HOA                         27,632    12.361       41.830          0           1,000     
Elevator                    27,632     1.270        1.892          0             36      
remod                       27,632     0.369        0.483          0             1       
lat                         27,632 2,359,735.000  6,913.324  2,351,041.000 2,400,056.000 
lon                         27,632  614,194.200  11,605.600   580,446.100   637,819.700  
PropertyTypeCondo_Townhouse 27,632     1.000        0.000          1             1       
PropertyTypeSingle Family   27,632     0.000        0.000          0             0       
StoriesOne                  27,632     0.260        0.439          0             1       
StoriesTwo                  27,632     0.212        0.409          0             1       
StoriesMulti                27,632     0.528        0.499          0             1       
year                        27,632   2,019.037      2.010        2,016         2,023     
LUCResidential              27,632     0.109        0.312          0             1       
LUCAgriculture              27,632     0.001        0.023          0             1       
LUCApartment-HD             27,632     0.053        0.224          0             1       
LUCApartment-LD             27,632     0.228        0.419          0             1       
LUCApartment-MD             27,632     0.283        0.451          0             1       
LUCBusiness                 27,632     0.066        0.248          0             1       
LUCOther                    27,632     0.205        0.403          0             1       
LUCResort                   27,632     0.056        0.229          0             1       
condAverage                 27,632     0.173        0.378          0             1       
condExcellent               27,632     0.366        0.482          0             1       
condAbove Average           27,632     0.436        0.496          0             1       
condFair                    27,632     0.025        0.156          0             1       
Parking0                    27,632     0.100        0.300          0             1       
Parking1                    27,632     0.441        0.497          0             1       
Parking2                    27,632     0.440        0.496          0             1       
Parking3                    27,632     0.009        0.093          0             1       
Parking4                    27,632     0.009        0.093          0             1       
Parking5 or More            27,632     0.001        0.033          0             1       
fld_zoneAE                  27,632     0.207        0.405          0             1       
fld_zoneA                   27,632     0.010        0.101          0             1       
fld_zoneAH                  27,632     0.001        0.023          0             1       
fld_zoneAO                  27,632     0.074        0.262          0             1       
fld_zoneD                   27,632     0.307        0.461          0             1       
fld_zoneVE                  27,632     0.008        0.087          0             1       
fld_zoneX                   27,632     0.393        0.488          0             1       
-----------------------------------------------------------------------------------------

============================================================================================
Statistic                     N        Mean        St. Dev.         Min            Max      
--------------------------------------------------------------------------------------------
num_sale                    22,993     1.305         0.536           1              4       
Covid                       22,993     0.423         0.494           0              1       
Covid2                      22,993     0.367         0.482           0              1       
Cases                       9,716     289.766       543.236          0            4,021     
BathsFull                   22,993     2.390         0.974           0              17      
BathsHalf                   22,993     0.393         0.525           0              5       
BedsTotal                   22,993     3.788         1.242           0              25      
