
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
per_asian                   27,358     0.432        0.196       0.0002         1.000     
per_hawaian                 27,358     0.069        0.100        0.000         0.695     
per_occupied                27,358     0.881        0.168       0.0004         1.000     
per_vacant                  27,358     0.118        0.166        0.000         0.893     
per_owner                   27,358     0.668        0.201       0.0004         1.000     
per_renter                  27,358     0.331        0.201        0.000         0.986     
HOA                         27,358    17.325       45.285          0            667      
Elevator                    27,358     0.718        1.577          0             36      
remod                       27,358     0.372        0.483          0             1       
lat                         27,358 2,361,425.000  7,559.916  2,350,907.000 2,400,056.000 
lon                         27,358  612,782.700  13,110.520   579,824.200   638,667.700  
PropertyTypeCondo_Townhouse 27,358     0.545        0.498          0             1       
PropertyTypeSingle Family   27,358     0.455        0.498          0             1       
StoriesOne                  27,358     0.348        0.476          0             1       
StoriesTwo                  27,358     0.345        0.475          0             1       
StoriesMulti                27,358     0.307        0.461          0             1       
year                        27,358   2,017.496      1.159        2,016         2,020     
LUCResidential              27,358     0.456        0.498          0             1       
LUCAgriculture              27,358     0.008        0.090          0             1       
LUCApartment-HD             27,358     0.028        0.165          0             1       
LUCApartment-LD             27,358     0.159        0.366          0             1       
LUCApartment-MD             27,358     0.159        0.365          0             1       
LUCBusiness                 27,358     0.037        0.190          0             1       
LUCOther                    27,358     0.119        0.323          0             1       
LUCResort                   27,358     0.034        0.181          0             1       
condAverage                 27,358     0.196        0.397          0             1       
condExcellent               27,358     0.348        0.476          0             1       
condAbove Average           27,358     0.405        0.491          0             1       
condFair                    27,358     0.051        0.220          0             1       
Parking0                    27,358     0.058        0.234          0             1       
Parking1                    27,358     0.257        0.437          0             1       
Parking2                    27,358     0.486        0.500          0             1       
Parking3                    27,358     0.058        0.234          0             1       
Parking4                    27,358     0.110        0.313          0             1       
Parking5 or More            27,358     0.032        0.176          0             1       
fld_zoneAE                  27,358     0.133        0.339          0             1       
fld_zoneA                   27,358     0.005        0.073          0             1       
fld_zoneAH                  27,358     0.002        0.043          0             1       
fld_zoneAO                  27,358     0.042        0.201          0             1       
fld_zoneD                   27,358     0.417        0.493          0             1       
fld_zoneVE                  27,358     0.007        0.082          0             1       
fld_zoneX                   27,358     0.395        0.489          0             1       
-----------------------------------------------------------------------------------------

==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
------------------------------------------------------------------------------------------
num_sale                    16,061     1.048        0.217          1              3       
Covid                       16,061     1.000        0.000          1              1       
Covid2                      16,061     0.889        0.314          0              1       
Cases                       16,061    296.949      555.559         0            4,021     
BathsFull                   16,061     1.924        0.948          0              14      
BathsHalf                   16,061     0.255        0.464          0              5       
BedsTotal                   16,061     2.744        1.575          0              25      
DOM                         16,061    37.462       60.660          0             946      
livSQFT                     16,061   1,355.802     897.843        120           16,703    
SQFTGarageCarport           16,061    168.425      232.555         0            3,200     
real.list.price             16,061 1,000,883.000 969,996.700   85,418.510   22,166,108.000
real.close.price            16,061  996,473.400  914,276.400   85,418.510   22,166,108.000
diff.price                  16,061   3,690.407   121,181.400 -2,010,000.000 6,900,000.000 
Basement                    16,061     0.016        0.126          0              1       
Split                       16,061     0.035        0.184          0              1       
PUD                         16,061     0.006        0.077          0              1       
LowRise                     16,061     0.084        0.278          0              1       
HighRise                    16,061     0.311        0.463          0              1       
Townhouse                   16,061     0.141        0.348          0              1       
Condotel                    16,061     0.037        0.188          0              1       
SingleFam                   16,061     0.430        0.495          0              1       
Duplex                      16,061     0.009        0.092          0              1       
MultiDwell                  16,061     0.024        0.152          0              1       
WalkUP                      16,061     0.041        0.198          0              1       
pool                        16,061     0.464        0.499          0              1       
Age                         16,061    40.502       19.925          0             123      
Age2                        16,061     2.037        1.672        0.000          15.129    
Age.r                       16,061     3.739       10.601          0              94      
SqftTotal                   16,061   1,508.196    1,063.981       175           18,919    
par_area                    16,061     2.863        5.847        0.014         111.969    
beach                       16,061     1.994        2.344        0.000          13.477    
park                        16,061     0.422        0.318        0.000          3.560     
hospital                    16,061     4.029        4.028        0.015          20.927    
airport                     16,061     9.114        5.609        0.993          30.986    
elem_sch                    16,061     1.123        4.162        0.016         196.490    
mid_sch                     16,061     2.200        1.614        0.037          17.655    
high_sch                    16,061     2.142        1.556        0.034          17.655    
per_white                   16,061     0.240        0.175        0.000          0.850     
per_black                   16,061     0.019        0.033        0.000          0.261     
per_asian                   16,061     0.441        0.199        0.000          1.000     
per_hawaian                 16,061     0.068        0.101        0.000          0.695     
per_occupied                16,061     0.874        0.162        0.107          1.000     
per_vacant                  16,061     0.125        0.160        0.000          0.893     
per_owner                   16,061     0.655        0.211        0.000          1.000     
per_renter                  16,061     0.344        0.210        0.000          1.000     
HOA                         16,061    15.589       47.112          0            1,000     
Elevator                    16,061     0.750        1.544          0              23      
remod                       16,061     0.414        0.492          0              1       
lat                         16,061 2,361,293.000  7,773.903  2,350,948.000  2,400,056.000 
lon                         16,061  613,927.000  13,156.630   579,905.600    638,597.200  
PropertyTypeCondo_Townhouse 16,061     0.536        0.499          0              1       
PropertyTypeSingle Family   16,061     0.464        0.499          0              1       
StoriesOne                  16,061     0.347        0.476          0              1       
StoriesTwo                  16,061     0.315        0.465          0              1       
StoriesMulti                16,061     0.337        0.473          0              1       
year                        16,061   2,021.036      0.790        2,020          2,023     
LUCResidential              16,061     0.461        0.499          0              1       
LUCAgriculture              16,061     0.008        0.089          0              1       
LUCApartment-HD             16,061     0.034        0.182          0              1       
LUCApartment-LD             16,061     0.131        0.337          0              1       
LUCApartment-MD             16,061     0.176        0.381          0              1       
LUCBusiness                 16,061     0.039        0.194          0              1       
LUCOther                    16,061     0.123        0.328          0              1       
LUCResort                   16,061     0.028        0.165          0              1       
condAverage                 16,061     0.223        0.416          0              1       
condExcellent               16,061     0.295        0.456          0              1       
condAbove Average           16,061     0.423        0.494          0              1       
condFair                    16,061     0.058        0.235          0              1       
Parking0                    16,061     0.057        0.231          0              1       
Parking1                    16,061     0.272        0.445          0              1       
Parking2                    16,061     0.431        0.495          0              1       
Parking3                    16,061     0.064        0.244          0              1       
Parking4                    16,061     0.130        0.336          0              1       
Parking5 or More            16,061     0.047        0.211          0              1       
fld_zoneAE                  16,061     0.126        0.331          0              1       
fld_zoneA                   16,061     0.007        0.086          0              1       
fld_zoneAH                  16,061     0.002        0.040          0              1       
fld_zoneAO                  16,061     0.043        0.203          0              1       
fld_zoneD                   16,061     0.375        0.484          0              1       
fld_zoneVE                  16,061     0.010        0.100          0              1       
fld_zoneX                   16,061     0.437        0.496          0              1       
------------------------------------------------------------------------------------------

=========================================================================================
Statistic                     N        Mean       St. Dev.        Min           Max      
-----------------------------------------------------------------------------------------
num_sale                    23,513     1.178        0.426          1             5       
Covid                       23,513     0.366        0.482          0             1       
Covid2                      23,513     0.332        0.471          0             1       
Cases                       8,614     305.152      566.291         0           4,021     
BathsFull                   23,513     1.493        0.556          0             6       
BathsHalf                   23,513     0.167        0.378          0             5       
BedsTotal                   23,513     1.790        0.919          0             8       
DOM                         23,513    47.967       62.305          0            946      
livSQFT                     23,513    877.230      392.277        120          10,740    
SQFTGarageCarport           23,513    21.773       87.962          0           1,042     
real.list.price             23,513  676,394.000  632,199.300  85,418.510   28,197,546.000
real.close.price            23,513  666,354.400  605,137.700  85,418.510   28,197,546.000
diff.price                  23,513   8,374.712   47,901.360    -300,000      4,750,000   
Basement                    23,513     0.001        0.036          0             1       
Split                       23,513     0.027        0.163          0             1       
PUD                         23,513     0.006        0.076          0             1       
LowRise                     23,513     0.167        0.373          0             1       
HighRise                    23,513     0.544        0.498          0             1       
Townhouse                   23,513     0.294        0.455          0             1       
Condotel                    23,513     0.067        0.249          0             1       
SingleFam                   23,513     0.003        0.052          0             1       
Duplex                      23,513     0.000        0.000          0             0       
MultiDwell                  23,513     0.000        0.000          0             0       
WalkUP                      23,513     0.081        0.273          0             1       
pool                        23,513    0.00004       0.007          0             1       
Age                         23,513    35.106       16.350          0             90      
Age2                        23,513     1.500        1.017        0.000         8.100     
Age.r                       23,513     1.428        4.057          0             57      
SqftTotal                   23,513    957.161      441.869        175          11,155    
par_area                    23,513     4.769        6.772        0.014        111.969    
beach                       23,513     1.698        2.214        0.000         12.788    
park                        23,513     0.337        0.267        0.000         2.165     
hospital                    23,513     3.095        3.436        0.015         20.403    
airport                     23,513     7.541        5.144        0.993         25.136    
elem_sch                    23,513     1.257        6.170        0.043        196.490    
mid_sch                     23,513     1.944        1.313        0.071         7.279     
high_sch                    23,513     1.795        1.194        0.034         6.804     
per_white                   23,513     0.271        0.187        0.000         0.828     
per_black                   23,513     0.022        0.035        0.000         0.241     
per_asian                   23,513     0.447        0.195        0.014         1.000     
per_hawaian                 23,513     0.057        0.085        0.000         0.640     
per_occupied                23,513     0.829        0.197        0.107         1.000     
per_vacant                  23,513     0.170        0.197        0.000         0.893     
per_owner                   23,513     0.577        0.192        0.028         0.985     
per_renter                  23,513     0.422        0.191        0.015         0.972     
HOA                         23,513    11.193       40.249          0           1,000     
Elevator                    23,513     1.332        1.928          0             36      
remod                       23,513     0.355        0.478          0             1       
lat                         23,513 2,359,551.000  6,874.578  2,351,041.000 2,400,056.000 
lon                         23,513  614,679.100  11,377.330   580,446.100   637,819.700  
PropertyTypeCondo_Townhouse 23,513     1.000        0.000          1             1       
PropertyTypeSingle Family   23,513     0.000        0.000          0             0       
StoriesOne                  23,513     0.261        0.439          0             1       
StoriesTwo                  23,513     0.196        0.397          0             1       
StoriesMulti                23,513     0.543        0.498          0             1       
year                        23,513   2,018.794      1.999        2,016         2,023     
LUCResidential              23,513     0.100        0.300          0             1       
LUCAgriculture              23,513    0.0004        0.021          0             1       
LUCApartment-HD             23,513     0.056        0.230          0             1       
LUCApartment-LD             23,513     0.216        0.411          0             1       
LUCApartment-MD             23,513     0.290        0.454          0             1       
