
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
per_asian                   22,840     0.440        0.198       0.0002         1.000     
per_hawaian                 22,840     0.068        0.098        0.000         0.695     
per_occupied                22,840     0.879        0.169       0.0004         1.000     
per_vacant                  22,840     0.120        0.167        0.000         0.893     
per_owner                   22,840     0.667        0.202       0.0004         1.000     
per_renter                  22,840     0.332        0.202        0.000         0.986     
HOA                         22,840    16.017       44.514          0            667      
Elevator                    22,840     0.730        1.572          0             36      
remod                       22,840     0.390        0.488          0             1       
lat                         22,840 2,361,358.000  7,595.128  2,350,907.000 2,400,056.000 
lon                         22,840  613,352.600  12,913.650   579,824.200   638,667.700  
PropertyTypeCondo_Townhouse 22,840     0.537        0.499          0             1       
PropertyTypeSingle Family   22,840     0.463        0.499          0             1       
StoriesOne                  22,840     0.358        0.479          0             1       
StoriesTwo                  22,840     0.328        0.470          0             1       
StoriesMulti                22,840     0.313        0.464          0             1       
year                        22,840   2,017.643      1.171        2,016         2,020     
LUCResidential              22,840     0.460        0.498          0             1       
LUCAgriculture              22,840     0.008        0.090          0             1       
LUCApartment-HD             22,840     0.029        0.168          0             1       
LUCApartment-LD             22,840     0.146        0.353          0             1       
LUCApartment-MD             22,840     0.160        0.367          0             1       
LUCBusiness                 22,840     0.040        0.196          0             1       
LUCOther                    22,840     0.122        0.327          0             1       
LUCResort                   22,840     0.035        0.183          0             1       
condAverage                 22,840     0.193        0.394          0             1       
condExcellent               22,840     0.354        0.478          0             1       
condAbove Average           22,840     0.407        0.491          0             1       
condFair                    22,840     0.047        0.212          0             1       
Parking0                    22,840     0.060        0.237          0             1       
Parking1                    22,840     0.263        0.440          0             1       
Parking2                    22,840     0.469        0.499          0             1       
Parking3                    22,840     0.060        0.237          0             1       
Parking4                    22,840     0.115        0.319          0             1       
Parking5 or More            22,840     0.033        0.180          0             1       
fld_zoneAE                  22,840     0.136        0.343          0             1       
fld_zoneA                   22,840     0.006        0.074          0             1       
fld_zoneAH                  22,840     0.002        0.041          0             1       
fld_zoneAO                  22,840     0.042        0.201          0             1       
fld_zoneD                   22,840     0.398        0.489          0             1       
fld_zoneVE                  22,840     0.007        0.083          0             1       
fld_zoneX                   22,840     0.410        0.492          0             1       
-----------------------------------------------------------------------------------------

==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
------------------------------------------------------------------------------------------
num_sale                    20,579     1.287        0.519          1              5       
Covid                       20,579     1.000        0.000          1              1       
Covid2                      20,579     0.881        0.324          0              1       
