
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
per_white                   19,915     0.208         0.159         0.000          0.850     
per_black                   19,915     0.019         0.033         0.000          0.261     
per_asian                   19,915     0.422         0.200         0.000          0.957     
per_hawaian                 19,915     0.083         0.114         0.000          0.695     
per_occupied                19,915     0.936         0.088         0.0004         1.000     
per_vacant                  19,915     0.063         0.083         0.000          0.699     
per_owner                   19,915     0.765         0.169         0.000          1.000     
per_renter                  19,915     0.233         0.168         0.000          1.000     
HOA                         19,915    23.505        52.029           0             667      
Elevator                    19,915     0.024         0.154           0              1       
remod                       19,915     0.454         0.498           0              1       
lat                         19,915 2,363,533.000   7,931.252   2,350,907.000  2,399,920.000 
lon                         19,915  611,464.800   14,765.700    579,824.200    638,667.700  
PropertyTypeCondo_Townhouse 19,915     0.000         0.000           0              0       
PropertyTypeSingle Family   19,915     1.000         0.000           1              1       
StoriesOne                  19,915     0.449         0.497           0              1       
StoriesTwo                  19,915     0.499         0.500           0              1       
StoriesMulti                19,915     0.052         0.222           0              1       
year                        19,915   2,019.242       2.000         2,016          2,023     
LUCResidential              19,915     0.881         0.324           0              1       
LUCAgriculture              19,915     0.017         0.129           0              1       
LUCApartment-HD             19,915    0.0002         0.012           0              1       
LUCApartment-LD             19,915     0.070         0.254           0              1       
LUCApartment-MD             19,915     0.018         0.132           0              1       
LUCBusiness                 19,915     0.001         0.022           0              1       
LUCOther                    19,915     0.014         0.118           0              1       
LUCResort                   19,915    0.0002         0.012           0              1       
condAverage                 19,915     0.221         0.415           0              1       
condExcellent               19,915     0.297         0.457           0              1       
condAbove Average           19,915     0.412         0.492           0              1       
condFair                    19,915     0.070         0.254           0              1       
Parking0                    19,915     0.004         0.064           0              1       
Parking1                    19,915     0.032         0.176           0              1       
Parking2                    19,915     0.500         0.500           0              1       
Parking3                    19,915     0.124         0.329           0              1       
Parking4                    19,915     0.258         0.437           0              1       
Parking5 or More            19,915     0.083         0.276           0              1       
fld_zoneAE                  19,915     0.033         0.178           0              1       
fld_zoneA                   19,915    0.0004         0.019           0              1       
fld_zoneAH                  19,915     0.003         0.056           0              1       
fld_zoneAO                  19,915     0.004         0.062           0              1       
fld_zoneD                   19,915     0.538         0.499           0              1       
fld_zoneVE                  19,915     0.008         0.088           0              1       
fld_zoneX                   19,915     0.415         0.493           0              1       
--------------------------------------------------------------------------------------------

===========================================================================================
Statistic                     N        Mean        St. Dev.         Min           Max      
-------------------------------------------------------------------------------------------
num_sale                    10,578     1.073         0.265           1             3       
Covid                       10,578     0.000         0.000           0             0       
Covid2                      10,578     0.002         0.042           0             1       
BathsFull                   10,578     2.363         0.954           0             17      
BathsHalf                   10,578     0.381         0.519           0             5       
BedsTotal                   10,578     3.772         1.236           0             18      
DOM                         10,578    51.409        59.311           0            739      
livSQFT                     10,578   1,856.447      883.235         420          17,408    
SQFTGarageCarport           10,578    331.940       230.231          0           4,444     
real.list.price             10,578 1,215,053.000 1,006,619.000  168,375.100  23,293,838.000
real.close.price            10,578 1,189,751.000  926,722.500   180,401.900  21,058,570.000
diff.price                  10,578  20,807.720    96,865.890    -1,850,000     2,950,000   
Basement                    10,578     0.025         0.157           0             1       
Split                       10,578     0.043         0.203           0             1       
PUD                         10,578     0.008         0.090           0             1       
LowRise                     10,578     0.000         0.000           0             0       
HighRise                    10,578     0.000         0.000           0             0       
Townhouse                   10,578     0.000         0.000           0             0       
Condotel                    10,578     0.000         0.000           0             0       
SingleFam                   10,578     0.922         0.269           0             1       
Duplex                      10,578     0.019         0.136           0             1       
MultiDwell                  10,578     0.037         0.188           0             1       
WalkUP                      10,578     0.000         0.000           0             0       
pool                        10,578     1.000         0.000           1             1       
Age                         10,578    38.298        22.652           0            112      
Age2                        10,578     1.980         1.894         0.000         12.544    
Age.r                       10,578     4.883        12.480           0             88      
SqftTotal                   10,578   2,074.149     1,081.234        496          23,350    
par_area                    10,578     0.861         3.429         0.029        128.918    
beach                       10,578     2.612         2.669         0.000         13.552    
park                        10,578     0.528         0.324         0.000         3.302     
hospital                    10,578     5.052         4.104         0.022         20.997    
airport                     10,578    10.893         5.593         1.296         30.003    
elem_sch                    10,578     1.023         0.774         0.026         7.116     
mid_sch                     10,578     2.458         1.797         0.043         17.684    
high_sch                    10,578     2.527         1.704         0.048         17.684    
per_white                   10,578     0.203         0.154         0.000         0.850     
per_black                   10,578     0.019         0.033         0.000         0.261     
per_asian                   10,578     0.429         0.198        0.0002         0.957     
per_hawaian                 10,578     0.082         0.111         0.000         0.695     
per_occupied                10,578     0.937         0.086        0.0004         1.000     
per_vacant                  10,578     0.061         0.080         0.000         0.699     
per_owner                   10,578     0.768         0.167        0.0004         1.000     
per_renter                  10,578     0.231         0.166         0.000         0.986     
HOA                         10,578    22.664        50.048           0            667      
Elevator                    10,578     0.000         0.000           0             0       
remod                       10,578     0.421         0.494           0             1       
lat                         10,578 2,363,561.000   7,779.773   2,350,907.000 2,399,920.000 
lon                         10,578  611,415.200   14,568.250    579,824.200   638,667.700  
PropertyTypeCondo_Townhouse 10,578     0.000         0.000           0             0       
PropertyTypeSingle Family   10,578     1.000         0.000           1             1       
StoriesOne                  10,578     0.458         0.498           0             1       
StoriesTwo                  10,578     0.493         0.500           0             1       
StoriesMulti                10,578     0.049         0.216           0             1       
year                        10,578   2,017.633       1.187         2,016         2,020     
LUCResidential              10,578     0.883         0.321           0             1       
LUCAgriculture              10,578     0.017         0.131           0             1       
LUCApartment-HD             10,578    0.0002         0.014           0             1       
LUCApartment-LD             10,578     0.068         0.251           0             1       
LUCApartment-MD             10,578     0.017         0.129           0             1       
LUCBusiness                 10,578     0.001         0.024           0             1       
LUCOther                    10,578     0.014         0.117           0             1       
LUCResort                   10,578     0.000         0.000           0             0       
condAverage                 10,578     0.218         0.413           0             1       
condExcellent               10,578     0.314         0.464           0             1       
condAbove Average           10,578     0.393         0.488           0             1       
condFair                    10,578     0.074         0.263           0             1       
Parking0                    10,578     0.004         0.067           0             1       
Parking1                    10,578     0.037         0.189           0             1       
Parking2                    10,578     0.529         0.499           0             1       
Parking3                    10,578     0.119         0.323           0             1       
Parking4                    10,578     0.240         0.427           0             1       
Parking5 or More            10,578     0.071         0.257           0             1       
fld_zoneAE                  10,578     0.031         0.172           0             1       
fld_zoneA                   10,578     0.001         0.024           0             1       
fld_zoneAH                  10,578     0.003         0.053           0             1       
fld_zoneAO                  10,578     0.004         0.064           0             1       
fld_zoneD                   10,578     0.545         0.498           0             1       
fld_zoneVE                  10,578     0.006         0.078           0             1       
fld_zoneX                   10,578     0.411         0.492           0             1       
-------------------------------------------------------------------------------------------

===========================================================================================
Statistic                     N       Mean        St. Dev.         Min            Max      
-------------------------------------------------------------------------------------------
num_sale                    9,337     1.279         0.511           1              4       
Covid                       9,337     1.000         0.000           1              1       
Covid2                      9,337     0.863         0.344           0              1       
Cases                       9,337    295.142       549.641          0            4,021     
BathsFull                   9,337     2.446         1.023           0              15      
BathsHalf                   9,337     0.389         0.532           0              5       
BedsTotal                   9,337     3.864         1.317           0              25      
DOM                         9,337    29.494        48.860           0             593      
livSQFT                     9,337   1,910.202      947.784         220           16,703    
SQFTGarageCarport           9,337    331.355       233.042          0            3,200     
real.list.price             9,337 1,378,213.000 1,102,360.000  322,529.700   22,166,108.000
real.close.price            9,337 1,380,878.000 1,030,200.000  310,013.300   22,166,108.000
diff.price                  9,337  -2,747.403    149,933.300  -2,010,000.000 6,900,000.000 
Basement                    9,337     0.030         0.170           0              1       
Split                       9,337     0.048         0.213           0              1       
PUD                         9,337     0.009         0.097           0              1       
LowRise                     9,337     0.000         0.000           0              0       
HighRise                    9,337     0.000         0.000           0              0       
Townhouse                   9,337     0.000         0.000           0              0       
Condotel                    9,337     0.000         0.000           0              0       
SingleFam                   9,337     0.920         0.271           0              1       
Duplex                      9,337     0.018         0.134           0              1       
MultiDwell                  9,337     0.046         0.210           0              1       
WalkUP                      9,337     0.000         0.000           0              0       
pool                        9,337     1.000         0.000           1              1       
Age                         9,337    41.621        23.214           0             123      
Age2                        9,337     2.271         2.096         0.000          15.129    
Age.r                       9,337     5.501        13.263           0              94      
SqftTotal                   9,337   2,136.966     1,152.570        220           18,919    
par_area                    9,337     0.917         3.635         0.021         103.124    
beach                       9,337     2.433         2.540         0.000          13.477    
park                        9,337     0.525         0.336         0.000          3.560     
hospital                    9,337     5.262         4.270         0.010          20.927    
airport                     9,337    10.909         5.596         1.274          30.986    
elem_sch                    9,337     1.063         0.847         0.016          7.453     
mid_sch                     9,337     2.507         1.850         0.037          17.655    
high_sch                    9,337     2.615         1.770         0.037          17.655    
per_white                   9,337     0.215         0.163         0.000          0.850     
per_black                   9,337     0.019         0.033         0.000          0.261     
per_asian                   9,337     0.414         0.201         0.000          0.957     
per_hawaian                 9,337     0.084         0.117         0.000          0.695     
per_occupied                9,337     0.934         0.089         0.137          1.000     
per_vacant                  9,337     0.064         0.085         0.000          0.699     
per_owner                   9,337     0.762         0.172         0.000          1.000     
per_renter                  9,337     0.236         0.171         0.000          1.000     
HOA                         9,337    24.458        54.174           0             623      
Elevator                    9,337     0.052         0.222           0              1       
remod                       9,337     0.491         0.500           0              1       
lat                         9,337 2,363,502.000   8,099.744   2,350,907.000  2,399,737.000 
lon                         9,337  611,521.000   14,986.840    579,905.600    638,597.200  
PropertyTypeCondo_Townhouse 9,337     0.000         0.000           0              0       
PropertyTypeSingle Family   9,337     1.000         0.000           1              1       
StoriesOne                  9,337     0.438         0.496           0              1       
StoriesTwo                  9,337     0.506         0.500           0              1       
StoriesMulti                9,337     0.056         0.230           0              1       
year                        9,337   2,021.064       0.823         2,020          2,023     
LUCResidential              9,337     0.878         0.327           0              1       
LUCAgriculture              9,337     0.016         0.127           0              1       
LUCApartment-HD             9,337    0.0001         0.010           0              1       
LUCApartment-LD             9,337     0.072         0.258           0              1       
LUCApartment-MD             9,337     0.019         0.135           0              1       
LUCBusiness                 9,337    0.0004         0.021           0              1       
LUCOther                    9,337     0.014         0.119           0              1       
LUCResort                   9,337    0.0003         0.018           0              1       
condAverage                 9,337     0.223         0.416           0              1       
condExcellent               9,337     0.279         0.448           0              1       
condAbove Average           9,337     0.434         0.496           0              1       
condFair                    9,337     0.064         0.245           0              1       
Parking0                    9,337     0.004         0.062           0              1       
Parking1                    9,337     0.026         0.159           0              1       
Parking2                    9,337     0.466         0.499           0              1       
Parking3                    9,337     0.129         0.336           0              1       
Parking4                    9,337     0.278         0.448           0              1       
Parking5 or More            9,337     0.096         0.295           0              1       
fld_zoneAE                  9,337     0.035         0.184           0              1       
fld_zoneA                   9,337    0.0001         0.010           0              1       
fld_zoneAH                  9,337     0.004         0.059           0              1       
fld_zoneAO                  9,337     0.004         0.060           0              1       
fld_zoneD                   9,337     0.529         0.499           0              1       
fld_zoneVE                  9,337     0.010         0.098           0              1       
fld_zoneX                   9,337     0.419         0.493           0              1       
-------------------------------------------------------------------------------------------
