Name,sch_code,sch_type
Lahaina,413,Middle
Lahainaluna,414,High
Lanai,415,Elementary-Middle-High
Lanai and Elementary,415,Elementary-Middle-High
Lihikai,416,Elementary
Makawao,417,Elementary
Maui,418,High
Maunaloa,419,Elementary
Kalama,420,Middle
Molokai,421,High
Paia,422,Elementary
Waihee,424,Elementary
Wailuku,425,Elementary
Pukalani,426,Elementary
Maui Waena,428,Middle
Nahienaena,429,Elementary
Lokelani,430,Middle
Kamalii,431,Elementary
Pomaikai,433,Elementary
Molokaidle,434,Middle
Kekaulike,435,High
Puu Kukui,436,Elementary
Kapaa,447,Middle
Kamakahelei,448,Middle
Eleele,451,Elementary
Hanalei,452,Elementary
Kalaheo,453,Elementary
Kapaa,454,Elementary
Kapaa,455,High
Kauai,456,High
Kaumualii,457,Elementary
Kekaha,458,Elementary
Kilauea,459,Elementary
Koloa,460,Elementary
Niihau,461,Elementary-Middle-High
Niihau and Elementary,461,Elementary-Middle-High
Waimea,462,High
Wilcox,463,Elementary
Waimea Canyondle,464,Middle
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
